year,sector_crf,category_crf,activity_crf,pollutant,co2_eq
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G1c Equipos elécticos/Eliminación,SF6,0.1035428565
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G2b Aceleradores,SF6,0.3544757625
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G2e Aplicaciones médicas (cirugía ocular),SF6,0.0458485705
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G3a Aplicaciones médicas,N2O,40.353458795
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G3b Propulsor para para productos a presión y aerosoles,N2O,0.19607986
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A11 Vacuno de leche,CH4,20.671063168
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A12 Vacuno no lechero,CH4,129.031352968
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A2 Ovino,CH4,18.493511148
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A31 Porcino blanco,CH4,0.44163588
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A32 Porcino ibérico,CH4,0.008779428
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A42 Caprino,CH4,7.930513724
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A43 Equino,CH4,8.214276616
2016,CRF 3 Sector agrario,3.A. Fermentación entérica,3A44 Mulas y asnos,CH4,0.234264296
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B11 Vacuno,CH4,12.428843644
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B12 Ovino,CH4,2.821186816
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B13 Porcino,CH4,3.900198596
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B14 Otros animales,CH4,3.986252368
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B21 Vacuno,N2O,2.923159085
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B22 Ovino,N2O,1.369410555
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B23 Porcino,N2O,0.160275975
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B24 Otros animales,N2O,2.958401435
2016,CRF 3 Sector agrario,3.B. Gestión del estiércol,3B25 Emisiones indirectas de NO2,N2O,4.338418615
2016,CRF 3 Sector agrario,3.C. Cultivo de Arroz,3C11 Regadio Inundación continua,CH4,0.726642532
2016,CRF 3 Sector agrario,3.D. Suelos agrícolas,3D11 Fertilizantes inorgánicos de N,N2O,17.22068845
2016,CRF 3 Sector agrario,3.D. Suelos agrícolas,3D12 Fertilizantes orgánicos de N,N2O,10.98253651
2016,CRF 3 Sector agrario,3.D. Suelos agrícolas,3D13 Orina y estiércol depositado por animales de pastoreo,N2O,3.62172108
2016,CRF 3 Sector agrario,3.D. Suelos agrícolas,3D14 Residuos de cultivos,N2O,1.949719745
2016,CRF 3 Sector agrario,3.D. Suelos agrícolas,3D21 Deposición atmosférica,N2O,4.663962635
2016,CRF 3 Sector agrario,3.D. Suelos agrícolas,3D22 Lixiviación y Escorrentía de N,N2O,2.553239755
2016,CRF 3 Sector agrario,3.H. Urea,3H Urea,CO2,4.012208
2016,CRF 3 Sector agrario,3.I. Otros fertilizantes que contienen carbono,3I Otros fertilizantes que contienen carbono,CO2,0.476297
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4(IV)2 Emisiones indirectas de N2O,4(IV)2 Emisiones indirectas de N2O,N2O,0.1011564704
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A11 Tierras forestales que permanecen como tierras forestales,CH4,0.1698084891
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A11 Tierras forestales que permanecen como tierras forestales,CO2,-355.610620196
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A11 Tierras forestales que permanecen como tierras forestales,N2O,0.0889042926
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A21 Tierras de cultivo convertidas en tierras forestales,CO2,-42.7118282452
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A22 Pastizales convertidos en tierras forestales,CO2,-113.5295267259
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A23 Humedales convertidos en tierras forestales,CO2,-0.0051381109
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A24 Asentamientos convertidos en tierras forestales,CO2,-3.4401531565
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.A. Tierras forestales,4A25 Otras tierras convertidas en tierras forestales,CO2,-0.0245436727
2016,"CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura",4.B. Tierras de cultivo,4B11 Tierras de cultivo que siguen siendo tierras de cultivo,CH4,0.1926682031
