id;lugar_infr;utm_x;utm_y
299;AV DR GARCIA TAPIA 139 C2;445987.25;4473319.25
300;AV DR GARCIA TAPIA 200 C1;445985.24;4473299.06
301;AV DR GARCIA TAPIA 200 C2;445985.24;4473299.06
302;C FUENTE CARRANTONA 61;446572.09;4473526.19
303;AV CANILLEJAS A VICALVARO 173;448167.17;4474514.59
304;AV CANILLEJAS VICALVARO 82 C1;448121.05;4474985.24
305;AV CANILLEJAS VICALVARO 82 C2;448121.05;4474985.24
306;AV CANILLEJAS VICALVARO 151;448132.45;4474989.38
307;C FUENTE CARRANTONA 44 C1;446846.27;4474115.01
308;C FUENTE CARRANTONA 44 C2;446846.27;4474115.01
309;AV DE ARCENTALES 37;448817.22;4476105.15
310;AV DE ARCENTALES 37 ACERA PAR;448813.17;4476095.85
311;LUIS ARAGONES-APARC CIVITAS C1;448824.55;4476580.12
312;LUIS ARAGONES-APARC CIVITAS C2;448824.55;4476580.12
313;C ARCAUTE 25;451166.27;4477147.56
314;C ARRASTARIA 16 C1;450299.73;4477525.35
315;C ARRASTARIA 16 C2;450299.73;4477525.35
316;AV 25 DE SEPTIEMBRE 6;447037.25;4477187.61
317;AV 25 DE SEPTIEMBRE 1;447024.37;4477176.49
318;C HNOS GARCIA NOBLEJAS 14 C1;445963.06;4476400.93
319;C HNOS GARCIA NOBLEJAS 14 C2;445963.06;4476400.93
320;C HNOS GARCIA NOBLEJAS 15 C1;445968.68;4476428.3
321;C HNOS GARCIA NOBLEJAS 15 C2;445968.68;4476428.3
322;C FRANCISCO LARGO CABALLERO 1;446092.47;4474924.62
323;C FRANCISCO LARGO CABALLERO 2;446047.95;4474915.06
324;C MARQUES DE CORBERA 40;444650.31;4475160.14
325;C MARQUES DE CORBERA 41 C1;444638.13;4475165.78
326;C MARQUES DE CORBERA 41 C2;444638.13;4475165.78
327;C ALCALA 332;445175.57;4476119.7
328;C ALCALA 349;445189.19;4476137.25
329;AV DE BADAJOZ 24;444456.23;4476982.18
330;AV DE BADAJOZ 7;444483.57;4477009.4
331;C ALCALA 629;448350.19;4477753.34
332;AV LOGROÑO 45;448610.4;4478141.62
333;AV LOGROÑO 287;450569.29;4479703.59
334;AV LOGROÑO 102 C1;450721.08;4479991.09
335;AV LOGROÑO 102 C2;450721.08;4479991.09
336;AV DE LOS ANDES 31 C1;447525.48;4478612.7
337;AV DE LOS ANDES 31 C2;447525.48;4478612.7
338;AV CONSEJO DE EUROPA 2 C1;447708.52;4478851.64
339;AV CONSEJO DE EUROPA 2 C2;447708.52;4478851.64
340;AV DEL PARTENON 10;447696.97;4479382.99
341;AV MACHUPICHU 34;446782.49;4478991.04
342;AV MACHUPICHU 37;446785.01;4478974.81
343;C SILVANO 165;447052.41;4479294.72
344;C DE SILVANO 72;445755.36;4479191.34
345;C DE SILVANO 71;445770.39;4479216.98
346;CRTA CANILLAS 40;444777.7;4479354.45
347;CRTA CANILLAS 15;444774.56;4479365.91
348;C ACONCAGUA 1;446501.12;4479993.54
349;GRAN VIA DE HORTALEZA 74;445192.86;4479940.62
350;GRAN VIA DE HORTALEZA 57;445185.12;4479960.55
351;AV SAN LUIS 78;444494.8;4480319.97
352;AV SAN LUIS 23;444503.21;4480310.91
353;C ESTACION DE HORTALEZA 13 C1;444747.68;4481179.73
354;C GREGORIO SANCHEZ HERRAEZ 5;445920.41;4480793.85
355;C GREGORIO SANCHEZ HERRAEZ 10;445885.27;4480833.84
356;C ARTURO SORIA 287 C1;443379.41;4480532.02
357;C ARTURO SORIA 287 C2;443379.41;4480532.02
358;C ARTURO SORIA 284;443397.05;4480510.69
359;A2PK8.500 ENT C1;448325.12;4477856.41
360;A2PK8.500 ENT C2;448325.12;4477856.41
361;M11PK1.750 ENT C1;444260.41;4481545.42
362;M11PK1.750 ENT C2;444260.41;4481545.42
363;AV DE FUERZAS ARMADAS 8;445717.26;4481768.85
364;AV NICETO ALCALA ZAMORA 6 C1;445066.44;4481646.48
365;AV NICETO ALCALA ZAMORA 6 C2;445066.44;4481646.48
366;AV FCO PI Y MARGALL 81 C1;443918.83;4482579.92
367;AV FCO PI Y MARGALL 81 C2;443918.83;4482579.92
368;AV NICETO ALCALA ZAMORA 22 C1;444820.43;4482980.23
369;AV NICETO ALCALA ZAMORA 22 C2;444820.43;4482980.23
370;R3PK0.000 ENT C1;446748.24;4473967.51
371;R3PK0.000 ENT C2;446748.24;4473967.51
372;R3PK0.000 ENT C3;446748.24;4473967.51
373;A3PK5.000 ENT C1;444980.93;4472347.43
374;A3PK5.000 ENT C2;444980.93;4472347.43
375;A1PK11.850 ENT C1;444112.04;4483778.24
376;A1PK11.850 ENT C2;444112.04;4483778.24
377;A1PK11.850 ENT C3;444112.04;4483778.24
378;AV STO DOMINGO CALZADA VS A1;443944.61;4483723.55
379;C DE PORTOMARIN 17;443546.01;4484676.99
380;A C SANTIAGO 56 ACERA IMPAR C1;443420.66;4484637.2
381;A C SANTIAGO 56 ACERA IMPAR C2;443420.66;4484637.2
382;SAN MILLAN DE LA COGOLLA 14;443302.18;4483929.54
383;AV CAMINO DE SANTIAGO 29 C1;442924.51;4483873.14
384;AV CAMINO DE SANTIAGO 29 C2;442924.51;4483873.14
