año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2025;026;Brunete;00;Brunete;2025-05-15
2025;026;Brunete;00;Brunete;2025-09-12
2025;027;Buitrago del Lozoya;00;Buitrago del Lozoya;2025-08-14
2025;027;Buitrago del Lozoya;00;Buitrago del Lozoya;2025-09-15
2025;028;Bustarviejo;00;Bustarviejo;2025-05-15
2025;028;Bustarviejo;00;Bustarviejo;2025-09-15
2025;031;Cadalso de los Vidrios;00;Cadalso de los Vidrios;2025-04-21
2025;031;Cadalso de los Vidrios;00;Cadalso de los Vidrios;2025-09-15
2025;032;Camarma de Esteruelas;00;Camarma de Esteruelas;2025-09-04
2025;032;Camarma de Esteruelas;00;Camarma de Esteruelas;2025-09-05
2025;033;Campo Real;00;Campo Real;2025-05-15
2025;033;Campo Real;00;Campo Real;2025-09-15
2025;034;Canencia;00;Canencia;2025-04-21
2025;034;Canencia;00;Canencia;2025-10-13
2025;035;Carabaña;00;Carabaña;2025-09-15
2025;035;Carabaña;00;Carabaña;2025-12-12
2025;036;Casarrubuelos;00;Casarrubuelos;2025-04-30
2025;036;Casarrubuelos;00;Casarrubuelos;2025-07-24
2025;037;Cenicientos;00;Cenicientos;2025-08-14
2025;037;Cenicientos;00;Cenicientos;2025-12-26
2025;038;Cercedilla;00;Cercedilla;2025-01-20
2025;038;Cercedilla;00;Cercedilla;2025-09-08
2025;039;Cervera de Buitrago;00;Cervera de Buitrago;2025-07-28
2025;039;Cervera de Buitrago;00;Cervera de Buitrago;2025-12-22
2025;051;Chapinería;00;Chapinería;2025-03-03
2025;051;Chapinería;00;Chapinería;2025-10-06
2025;052;Chinchón;00;Chinchón;2025-08-13
2025;052;Chinchón;00;Chinchón;2025-08-14
2025;040;Ciempozuelos;00;Ciempozuelos;2025-09-15
2025;040;Ciempozuelos;00;Ciempozuelos;2025-09-16
2025;041;Cobeña;00;Cobeña;2025-05-05
2025;041;Cobeña;00;Cobeña;2025-10-03
2025;046;Collado Mediano;00;Collado Mediano;2025-01-23
2025;046;Collado Mediano;00;Collado Mediano;2025-01-24
2025;047;Collado Villalba;00;Collado Villalba;2025-06-13
2025;047;Collado Villalba;00;Collado Villalba;2025-07-24
2025;043;Colmenar de Oreja;00;Colmenar de Oreja;2025-04-30
2025;043;Colmenar de Oreja;00;Colmenar de Oreja;2025-09-12
2025;042;Colmenar del Arroyo;00;Colmenar del Arroyo;2025-01-22
2025;042;Colmenar del Arroyo;00;Colmenar del Arroyo;2025-09-12
2025;045;Colmenar Viejo;00;Colmenar Viejo;2025-09-01
2025;045;Colmenar Viejo;00;Colmenar Viejo;2025-09-02
2025;044;Colmenarejo;00;Colmenarejo;2025-05-15
2025;044;Colmenarejo;00;Colmenarejo;2025-11-10
2025;048;Corpa;00;Corpa;2025-05-15
2025;048;Corpa;00;Corpa;2025-09-15
2025;049;Coslada;00;Coslada;2025-05-15
2025;049;Coslada;00;Coslada;2025-06-09
2025;050;Cubas de la Sagra;00;Cubas de la Sagra;2025-02-03
2025;050;Cubas de la Sagra;00;Cubas de la Sagra;2025-09-15
2025;053;Daganzo de Arriba;00;Daganzo de Arriba;2025-06-13
2025;053;Daganzo de Arriba;00;Daganzo de Arriba;2025-09-01
2025;004;El Álamo;00;El Álamo;2025-05-15
2025;004;El Álamo;00;El Álamo;2025-09-02
2025;016;El Atazar;00;El Atazar;2025-05-05
2025;016;El Atazar;00;El Atazar;2025-11-25
2025;021;El Berrueco;00;El Berrueco;2025-05-12
2025;021;El Berrueco;00;El Berrueco;2025-05-13
2025;023;El Boalo;02;Cerceda;2025-05-03
2025;023;El Boalo;02;Cerceda;2025-09-15
2025;023;El Boalo;00;El Boalo;2025-01-20
2025;023;El Boalo;00;El Boalo;2025-05-15
2025;023;El Boalo;03;Mataelpino;2025-02-05
2025;023;El Boalo;03;Mataelpino;2025-08-25
2025;054;El Escorial;00;El Escorial;2025-06-11
2025;054;El Escorial;00;El Escorial;2025-09-08
2025;086;El Molar;00;El Molar;2025-05-29
2025;086;El Molar;00;El Molar;2025-05-30
2025;168;El Vellón;01;El Espartal;2025-03-19
2025;168;El Vellón;01;El Espartal;2025-10-13
2025;168;El Vellón;00;El Vellón;2025-10-03
2025;168;El Vellón;00;El Vellón;2025-10-06
2025;055;Estremera;00;Estremera;2025-10-13
2025;055;Estremera;00;Estremera;2025-10-14
2025;056;Fresnedillas de la Oliva;00;Fresnedillas de la Oliva;2025-01-20
