Año;Tipo territorio;Código territorio;Territorio;Tipo;Valor;Estado dato
1995;Municipios;0552;Estremera;Total;1082;
1995;Municipios;0565;Fresnedillas de la Oliva;Total;587;
1995;Municipios;0571;Fresno de Torote;Total;461;
1995;Municipios;0587;Fuenlabrada;Total;5529;
1995;Municipios;0590;Fuente el Saz de Jarama;Total;1310;
1995;Municipios;0604;Fuentidueña de Tajo;Total;1111;
1995;Municipios;0611;Galapagar;Total;5583;
1995;Municipios;0626;Garganta de los Montes;Total;597;
1995;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Total;743;
1995;Municipios;0647;Gascones;Total;153;
1995;Municipios;0650;Getafe;Total;10614;
1995;Municipios;0663;Griñón;Total;1418;
1995;Municipios;0679;Guadalix de la Sierra;Total;1361;
1995;Municipios;0685;Guadarrama;Total;2499;
1995;Municipios;0698;Hiruela (La);Total;145;
1995;Municipios;0702;Horcajo de la Sierra-Aoslos;Total;298;
1995;Municipios;0719;Horcajuelo de la Sierra;Total;206;
1995;Municipios;0724;Hoyo de Manzanares;Total;1976;
1995;Municipios;0730;Humanes de Madrid;Total;2356;
1995;Municipios;0745;Leganés;Total;4940;
1995;Municipios;0758;Loeches;Total;746;
1995;Municipios;0761;Lozoya;Total;555;
1995;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Total;1080;
1995;Municipios;0783;Madarcos;Total;121;
1995;Municipios;0796;Madrid;Total;121672;
1995;Municipios;0800;Majadahonda;Total;3040;
1995;Municipios;0822;Manzanares el Real;Total;2183;
1995;Municipios;0838;Meco;Total;939;
1995;Municipios;0843;Mejorada del Campo;Total;2090;
1995;Municipios;0856;Miraflores de la Sierra;Total;2048;
1995;Municipios;0869;Molar (El);Total;1709;
1995;Municipios;0875;Molinos (Los);Total;1462;
1995;Municipios;0881;Montejo de la Sierra;Total;326;
1995;Municipios;0894;Moraleja de Enmedio;Total;856;
1995;Municipios;0908;Moralzarzal;Total;2115;
1995;Municipios;0915;Morata de Tajuña;Total;2029;
1995;Municipios;0920;Móstoles;Total;3996;
1995;Municipios;0936;Navacerrada;Total;1016;
1995;Municipios;0941;Navalafuente;Total;540;
1995;Municipios;0954;Navalagamella;Total;778;
1995;Municipios;0967;Navalcarnero;Total;2539;
1995;Municipios;0973;Navarredonda y San Mamés;Total;361;
1995;Municipios;0992;Navas del Rey;Total;1183;
1995;Municipios;1006;Nuevo Baztán;Total;1630;
1995;Municipios;1013;Olmeda de las Fuentes;Total;208;
1995;Municipios;1028;Orusco de Tajuña;Total;846;
1995;Municipios;1049;Paracuellos de Jarama;Total;2075;
1995;Municipios;1065;Parla;Total;2985;
1995;Municipios;1071;Patones;Total;358;
1995;Municipios;1087;Pedrezuela;Total;1023;
1995;Municipios;1090;Pelayos de la Presa;Total;1469;
1995;Municipios;1104;Perales de Tajuña;Total;1288;
1995;Municipios;1111;Pezuela de las Torres;Total;486;
1995;Municipios;1126;Pinilla del Valle;Total;277;
1995;Municipios;1132;Pinto;Total;2078;
1995;Municipios;1147;Piñuécar-Gandullas;Total;359;
1995;Municipios;1150;Pozuelo de Alarcón;Total;8540;
1995;Municipios;1163;Pozuelo del Rey;Total;251;
1995;Municipios;1179;Prádena del Rincón;Total;232;
1995;Municipios;1185;Puebla de la Sierra;Total;210;
1995;Municipios;9020;Puentes Viejas;Total;757;
1995;Municipios;1198;Quijorna;Total;524;
1995;Municipios;1202;Rascafría;Total;1339;
1995;Municipios;1219;Redueña;Total;173;
1995;Municipios;1224;Ribatejada;Total;474;
1995;Municipios;1230;Rivas-Vaciamadrid;Total;2564;
1995;Municipios;1245;Robledillo de la Jara;Total;167;
1995;Municipios;1258;Robledo de Chavela;Total;2018;
1995;Municipios;1261;Robregordo;Total;194;
1995;Municipios;1277;Rozas de Madrid (Las);Total;8651;
1995;Municipios;1283;Rozas de Puerto Real;Total;626;
1995;Municipios;1296;San Agustín del Guadalix;Total;964;
1995;Municipios;1300;San Fernando de Henares;Total;1714;
1995;Municipios;1317;San Lorenzo de El Escorial;Total;1849;
1995;Municipios;1322;San Martín de la Vega;Total;2113;
1995;Municipios;1338;San Martín de Valdeiglesias;Total;2639;
1995;Municipios;1343;San Sebastián de los Reyes;Total;4302;
1995;Municipios;1356;Santa María de la Alameda;Total;0;
1995;Municipios;1369;Santorcaz;Total;456;
1995;Municipios;1375;Santos de la Humosa (Los);Total;644;
1995;Municipios;1381;Serna del Monte (La);Total;154;
1995;Municipios;1408;Serranillos del Valle;Total;504;
1995;Municipios;1415;Sevilla la Nueva;Total;1088;
1995;Municipios;1436;Somosierra;Total;115;
1995;Municipios;1441;Soto del Real;Total;2444;
1995;Municipios;1454;Talamanca de Jarama;Total;609;
1995;Municipios;1467;Tielmes;Total;905;
1995;Municipios;1473;Titulcia;Total;401;
1995;Municipios;1489;Torrejón de Ardoz;Total;3877;
1995;Municipios;1492;Torrejón de la Calzada;Total;892;
1995;Municipios;1505;Torrejón de Velasco;Total;732;
1995;Municipios;1512;Torrelaguna;Total;1177;
1995;Municipios;1527;Torrelodones;Total;2406;
1995;Municipios;1533;Torremocha de Jarama;Total;296;
1995;Municipios;1548;Torres de la Alameda;Total;1398;
1995;Municipios;9036;Tres Cantos;Total;1619;
1995;Municipios;1551;Valdaracete;Total;506;
1995;Municipios;1564;Valdeavero;Total;499;
1995;Municipios;1570;Valdelaguna;Total;563;
1995;Municipios;1586;Valdemanco;Total;480;
1995;Municipios;1599;Valdemaqueda;Total;634;
1995;Municipios;1603;Valdemorillo;Total;3704;
1995;Municipios;1610;Valdemoro;Total;1740;
1995;Municipios;1625;Valdeolmos-Alalpardo;Total;575;
1995;Municipios;1631;Valdepiélagos;Total;230;
1995;Municipios;1646;Valdetorres de Jarama;Total;1024;
1995;Municipios;1659;Valdilecha;Total;992;
1995;Municipios;1662;Valverde de Alcalá;Total;188;
1995;Municipios;1678;Velilla de San Antonio;Total;967;
1995;Municipios;1684;Vellón (El);Total;826;
1995;Municipios;1697;Venturada;Total;716;
1995;Municipios;1718;Villa del Prado;Total;2907;
1995;Municipios;1701;Villaconejos;Total;1230;
1995;Municipios;1723;Villalbilla;Total;1971;
1995;Municipios;1739;Villamanrique de Tajo;Total;505;
1995;Municipios;1744;Villamanta;Total;813;
1995;Municipios;1757;Villamantilla;Total;286;
1995;Municipios;1760;Villanueva de la Cañada;Total;2251;
1995;Municipios;1782;Villanueva de Perales;Total;356;
1995;Municipios;1776;Villanueva del Pardillo;Total;491;
1995;Municipios;1795;Villar del Olmo;Total;695;
1995;Municipios;1809;Villarejo de Salvanés;Total;1921;
1995;Municipios;1816;Villaviciosa de Odón;Total;3842;
1995;Municipios;1821;Villavieja del Lozoya;Total;542;
1995;Municipios;1837;Zarzalejo;Total;873;
1995;Zonas Estadísticas;03;Este Metropolitano;Total;28350;
1995;Zonas Estadísticas;01;Municipio de Madrid;Total;121672;
1995;Zonas Estadísticas;07;Nordeste Comunidad;Total;8871;
1995;Zonas Estadísticas;02;Norte Metropolitano;Total;19595;
1995;Zonas Estadísticas;05;Oeste Metropolitano;Total;46276;
1995;Zonas Estadísticas;11;Sierra Central;Total;33527;
1995;Zonas Estadísticas;06;Sierra Norte;Total;21554;
1995;Zonas Estadísticas;10;Sierra Sur;Total;15930;
1995;Zonas Estadísticas;08;Sudeste Comunidad;Total;31651;
1995;Zonas Estadísticas;09;Sudoeste Comunidad;Total;18404;
1995;Zonas Estadísticas;04;Sur Metropolitano;Total;44772;
1996;Comunidad de Madrid;;Comunidad de Madrid;Total;400287;
1996;Municipios;0014;Acebeda (La);Total;216;
1996;Municipios;0029;Ajalvir;Total;764;
1996;Municipios;0035;Alameda del Valle;Total;296;
1996;Municipios;0040;Álamo (El);Total;2397;
1996;Municipios;0053;Alcalá de Henares;Total;6555;
1996;Municipios;0066;Alcobendas;Total;4252;
1996;Municipios;0072;Alcorcón;Total;3009;
1996;Municipios;0088;Aldea del Fresno;Total;1152;
1996;Municipios;0091;Algete;Total;2392;
1996;Municipios;0105;Alpedrete;Total;2470;
1996;Municipios;0112;Ambite;Total;621;
1996;Municipios;0127;Anchuelo;Total;297;
1996;Municipios;0133;Aranjuez;Total;3015;
1996;Municipios;0148;Arganda del Rey;Total;5746;
1996;Municipios;0151;Arroyomolinos;Total;914;
1996;Municipios;0164;Atazar (El);Total;125;
1996;Municipios;0170;Batres;Total;536;
1996;Municipios;0186;Becerril de la Sierra;Total;2192;
1996;Municipios;0199;Belmonte de Tajo;Total;0;
1996;Municipios;0210;Berrueco (El);Total;486;
1996;Municipios;0203;Berzosa del Lozoya;Total;144;
1996;Municipios;0225;Boadilla del Monte;Total;4631;
1996;Municipios;0231;Boalo (El);Total;1746;
1996;Municipios;0246;Braojos;Total;295;
1996;Municipios;0259;Brea de Tajo;Total;521;
1996;Municipios;0262;Brunete;Total;1107;
1996;Municipios;0278;Buitrago del Lozoya;Total;569;
1996;Municipios;0284;Bustarviejo;Total;1225;
1996;Municipios;0297;Cabanillas de la Sierra;Total;512;
1996;Municipios;0301;Cabrera (La);Total;1005;
1996;Municipios;0318;Cadalso de los Vidrios;Total;2119;
1996;Municipios;0323;Camarma de Esteruelas;Total;402;
1996;Municipios;0339;Campo Real;Total;1106;
1996;Municipios;0344;Canencia;Total;596;
1996;Municipios;0357;Carabaña;Total;1329;
1996;Municipios;0360;Casarrubuelos;Total;282;
1996;Municipios;0376;Cenicientos;Total;1663;
1996;Municipios;0382;Cercedilla;Total;2842;
1996;Municipios;0395;Cervera de Buitrago;Total;246;
1996;Municipios;0513;Chapinería;Total;715;
1996;Municipios;0528;Chinchón;Total;2247;
1996;Municipios;0409;Ciempozuelos;Total;2409;
1996;Municipios;0416;Cobeña;Total;824;
1996;Municipios;0468;Collado Mediano;Total;2168;
1996;Municipios;0474;Collado Villalba;Total;4607;
1996;Municipios;0437;Colmenar de Oreja;Total;2685;
1996;Municipios;0421;Colmenar del Arroyo;Total;656;
1996;Municipios;0455;Colmenar Viejo;Total;6034;
1996;Municipios;0442;Colmenarejo;Total;1090;
1996;Municipios;0480;Corpa;Total;289;
1996;Municipios;0493;Coslada;Total;3471;
1996;Municipios;0506;Cubas de la Sagra;Total;635;
1996;Municipios;0534;Daganzo de Arriba;Total;93;
1996;Municipios;0549;Escorial (El);Total;2728;
1996;Municipios;0552;Estremera;Total;1099;
1996;Municipios;0565;Fresnedillas de la Oliva;Total;591;
1996;Municipios;0571;Fresno de Torote;Total;266;
1996;Municipios;0587;Fuenlabrada;Total;5633;
1996;Municipios;0590;Fuente el Saz de Jarama;Total;1341;
1996;Municipios;0604;Fuentidueña de Tajo;Total;1124;
1996;Municipios;0611;Galapagar;Total;5583;
1996;Municipios;0626;Garganta de los Montes;Total;597;
1996;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Total;751;
1996;Municipios;0647;Gascones;Total;160;
1996;Municipios;0650;Getafe;Total;11090;
1996;Municipios;0663;Griñón;Total;1506;
1996;Municipios;0679;Guadalix de la Sierra;Total;1370;
1996;Municipios;0685;Guadarrama;Total;2299;
1996;Municipios;0698;Hiruela (La);Total;145;
1996;Municipios;0702;Horcajo de la Sierra-Aoslos;Total;329;
1996;Municipios;0719;Horcajuelo de la Sierra;Total;207;
1996;Municipios;0724;Hoyo de Manzanares;Total;2008;
1996;Municipios;0730;Humanes de Madrid;Total;2347;
1996;Municipios;0745;Leganés;Total;5139;
1996;Municipios;0758;Loeches;Total;746;
1996;Municipios;0761;Lozoya;Total;560;
1996;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Total;1081;
1996;Municipios;0783;Madarcos;Total;123;
1996;Municipios;0796;Madrid;Total;122016;
1996;Municipios;0800;Majadahonda;Total;3040;
1996;Municipios;0822;Manzanares el Real;Total;2183;
1996;Municipios;0838;Meco;Total;944;
1996;Municipios;0843;Mejorada del Campo;Total;2097;
1996;Municipios;0856;Miraflores de la Sierra;Total;2178;
1996;Municipios;0869;Molar (El);Total;1781;
1996;Municipios;0875;Molinos (Los);Total;1517;
1996;Municipios;0881;Montejo de la Sierra;Total;326;
1996;Municipios;0894;Moraleja de Enmedio;Total;953;
1996;Municipios;0908;Moralzarzal;Total;2219;
1996;Municipios;0915;Morata de Tajuña;Total;2029;
1996;Municipios;0920;Móstoles;Total;3996;
1996;Municipios;0936;Navacerrada;Total;1031;
1996;Municipios;0941;Navalafuente;Total;542;
1996;Municipios;0954;Navalagamella;Total;778;
1996;Municipios;0967;Navalcarnero;Total;2598;
1996;Municipios;0973;Navarredonda y San Mamés;Total;361;
1996;Municipios;0992;Navas del Rey;Total;1183;
1996;Municipios;1006;Nuevo Baztán;Total;2274;
1996;Municipios;1013;Olmeda de las Fuentes;Total;213;
1996;Municipios;1028;Orusco de Tajuña;Total;846;
1996;Municipios;1049;Paracuellos de Jarama;Total;2099;
1996;Municipios;1065;Parla;Total;2985;
1996;Municipios;1071;Patones;Total;359;
1996;Municipios;1087;Pedrezuela;Total;1023;
1996;Municipios;1090;Pelayos de la Presa;Total;1469;
1996;Municipios;1104;Perales de Tajuña;Total;1280;
1996;Municipios;1111;Pezuela de las Torres;Total;486;
1996;Municipios;1126;Pinilla del Valle;Total;277;
1996;Municipios;1132;Pinto;Total;2164;
1996;Municipios;1147;Piñuécar-Gandullas;Total;369;
1996;Municipios;1150;Pozuelo de Alarcón;Total;8789;
1996;Municipios;1163;Pozuelo del Rey;Total;251;
1996;Municipios;1179;Prádena del Rincón;Total;232;
1996;Municipios;1185;Puebla de la Sierra;Total;210;
1996;Municipios;9020;Puentes Viejas;Total;757;
1996;Municipios;1198;Quijorna;Total;524;
1996;Municipios;1202;Rascafría;Total;1345;
1996;Municipios;1219;Redueña;Total;173;
1996;Municipios;1224;Ribatejada;Total;535;
1996;Municipios;1230;Rivas-Vaciamadrid;Total;2656;
1996;Municipios;1245;Robledillo de la Jara;Total;167;
1996;Municipios;1258;Robledo de Chavela;Total;2018;
1996;Municipios;1261;Robregordo;Total;200;
1996;Municipios;1277;Rozas de Madrid (Las);Total;8722;
1996;Municipios;1283;Rozas de Puerto Real;Total;0;
1996;Municipios;1296;San Agustín del Guadalix;Total;965;
1996;Municipios;1300;San Fernando de Henares;Total;1957;
1996;Municipios;1317;San Lorenzo de El Escorial;Total;1917;
1996;Municipios;1322;San Martín de la Vega;Total;2240;
1996;Municipios;1338;San Martín de Valdeiglesias;Total;2677;
1996;Municipios;1343;San Sebastián de los Reyes;Total;4311;
